#model:pLinear_down	end_point_b=1.00
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.133900	-147.155427	-146.740364	293.895791	0.415064	441.051219	-2.112367	-2.112352	-2.111859	-0.704395	-0.469966	-0.131349	-0.423740	-0.282706	-0.078924
0.134200	-147.110427	-146.695364	293.805791	0.415064	440.916218	-1.980456	-1.980444	-1.980059	-0.754008	-0.503066	-0.140590	-0.327410	-0.218438	-0.060982
0.134500	-147.065427	-146.650364	293.715791	0.415063	440.781218	-1.848585	-1.848577	-1.848306	-0.790511	-0.527420	-0.147389	-0.225424	-0.150395	-0.041985
0.134800	-147.020427	-146.605364	293.625790	0.415063	440.646217	-1.716755	-1.716750	-1.716598	-0.813282	-0.542612	-0.151631	-0.119556	-0.079764	-0.022266
0.135100	-146.975426	-146.560364	293.535790	0.415063	440.511216	-1.584965	-1.584964	-1.584933	-0.821940	-0.548389	-0.153244	-0.011646	-0.007770	-0.002166
0.135400	-146.930426	-146.515364	293.445790	0.415063	440.376216	-1.453215	-1.453218	-1.453309	-0.816347	-0.544657	-0.152202	0.096432	0.064336	0.017965
0.135700	-146.885426	-146.470364	293.355790	0.415062	440.241215	-1.321506	-1.321513	-1.321723	-0.796613	-0.531491	-0.148526	0.202807	0.135306	0.037778
0.136000	-146.840426	-146.425364	293.265789	0.415062	440.106215	-1.189838	-1.189848	-1.190175	-0.763092	-0.509127	-0.142282	0.305637	0.203912	0.056932
0.136300	-146.795425	-146.380364	293.175789	0.415062	439.971214	-1.058210	-1.058224	-1.058662	-0.716378	-0.477961	-0.133581	0.403149	0.268968	0.075095
0.136600	-146.750425	-146.335364	293.085789	0.415061	439.836214	-0.926623	-0.926640	-0.927181	-0.657290	-0.438539	-0.122575	0.493659	0.329354	0.091953
0.136900	-146.705425	-146.290364	292.995788	0.415061	439.701213	-0.795077	-0.795097	-0.795731	-0.586861	-0.391551	-0.109457	0.575610	0.384029	0.107218
0.137200	-146.660425	-146.245364	292.905788	0.415061	439.566213	-0.663571	-0.663594	-0.664311	-0.506318	-0.337815	-0.094455	0.647595	0.432055	0.120626
0.137500	-146.615424	-146.200364	292.815788	0.415061	439.431212	-0.532107	-0.532132	-0.532920	-0.417060	-0.278265	-0.077829	0.708380	0.472609	0.131948
0.137800	-146.570424	-146.155364	292.725788	0.415060	439.296212	-0.400684	-0.400710	-0.401555	-0.320634	-0.213933	-0.059869	0.756928	0.504999	0.140991
0.138100	-146.525424	-146.110364	292.635787	0.415060	439.161211	-0.269301	-0.269329	-0.270216	-0.218711	-0.145933	-0.040884	0.792412	0.528673	0.147600
0.138400	-146.480424	-146.065364	292.545787	0.415060	439.026211	-0.137960	-0.137989	-0.138902	-0.113050	-0.075439	-0.021203	0.814234	0.543231	0.151665
0.138700	-146.435423	-146.020364	292.455787	0.415060	438.891210	-0.006659	-0.006689	-0.007613	-0.005474	-0.003668	-0.001166	0.822030	0.548432	0.153117
0.139000	-146.390423	-145.975364	292.365787	0.415059	438.756210	0.124600	0.124571	0.123651	0.102163	0.068144	0.018883	0.815678	0.544195	0.151934
0.139300	-146.345423	-145.930364	292.275786	0.415059	438.621209	0.255818	0.255790	0.254891	0.208010	0.138762	0.038599	0.795302	0.530600	0.148139
0.139600	-146.300422	-145.885364	292.185786	0.415059	438.486209	0.386995	0.386968	0.386105	0.310251	0.206974	0.057643	0.761264	0.507891	0.141799
0.139900	-146.255422	-145.840364	292.095786	0.415059	438.351208	0.518132	0.518106	0.517294	0.407132	0.271610	0.075688	0.714162	0.476466	0.133025
0.140200	-146.210422	-145.795364	292.005786	0.415058	438.216208	0.649227	0.649204	0.648456	0.496996	0.331564	0.092426	0.654816	0.436872	0.121971
0.140500	-146.165422	-145.750364	291.915785	0.415058	438.081207	0.780281	0.780261	0.779591	0.578307	0.385812	0.107572	0.584255	0.389797	0.108828
0.140800	-146.120421	-145.705364	291.825785	0.415058	437.946207	0.911295	0.911277	0.910696	0.649679	0.433429	0.120866	0.503700	0.336053	0.093824
0.141100	-146.075421	-145.660364	291.735785	0.415058	437.811206	1.042268	1.042253	1.041771	0.709899	0.473606	0.132083	0.414540	0.276568	0.077217
0.141400	-146.030421	-145.615364	291.645785	0.415057	437.676205	1.173199	1.173188	1.172814	0.757945	0.505661	0.141032	0.318309	0.212366	0.059292
0.141700	-145.985421	-145.570364	291.555784	0.415057	437.541205	1.304091	1.304083	1.303822	0.793008	0.529054	0.147563	0.216661	0.144550	0.040359
0.142000	-145.940420	-145.525364	291.465784	0.415057	437.406204	1.434941	1.434937	1.434795	0.814499	0.543392	0.151566	0.111340	0.074282	0.020741
0.142300	-145.895420	-145.480364	291.375784	0.415056	437.271204	1.565751	1.565751	1.565729	0.822063	0.548439	0.152975	0.004148	0.002767	0.000775
0.142600	-145.850420	-145.435364	291.285784	0.415056	437.136203	1.696520	1.696524	1.696624	0.815585	0.544117	0.151768	-0.103082	-0.068773	-0.019198
0.142900	-145.805420	-145.390364	291.195783	0.415056	437.001203	1.827249	1.827257	1.827476	0.795188	0.530508	0.147969	-0.208520	-0.139118	-0.038837
0.143200	-145.760419	-145.345364	291.105783	0.415056	436.866202	1.957938	1.957949	1.958284	0.761232	0.507854	0.141644	-0.310368	-0.207068	-0.057808
0.143500	-145.715419	-145.300364	291.015783	0.415055	436.731202	2.088586	2.088601	2.089045	0.714310	0.476549	0.132904	-0.406893	-0.271466	-0.075787
0.143800	-145.670419	-145.255364	290.925782	0.415055	436.596201	2.219195	2.219212	2.219759	0.655232	0.437134	0.121900	-0.496456	-0.331220	-0.092470
0.144100	-145.625419	-145.210364	290.835782	0.415055	436.461201	2.349762	2.349783	2.350423	0.585016	0.390288	0.108821	-0.577538	-0.385315	-0.107572
0.144400	-145.580418	-145.165364	290.745782	0.415055	436.326200	2.480290	2.480313	2.481035	0.504867	0.336815	0.093892	-0.648767	-0.432837	-0.120840
0.144700	-145.535418	-145.120364	290.655782	0.415054	436.191200	2.610778	2.610803	2.611595	0.416157	0.277631	0.077369	-0.708942	-0.472984	-0.132048
0.145000	-145.490418	-145.075364	290.565781	0.415054	436.056199	2.741225	2.741252	2.742101	0.320403	0.213747	0.059533	-0.757048	-0.505079	-0.141009
0.145300	-145.445417	-145.030364	290.475781	0.415054	435.921199	2.871633	2.871661	2.872552	0.219236	0.146251	0.040689	-0.792282	-0.528586	-0.147571
0.145600	-145.400417	-144.985364	290.385781	0.415054	435.786198	3.002001	3.002030	3.002947	0.114380	0.076294	0.021158	-0.814056	-0.543112	-0.151627
0.145900	-145.355417	-144.940364	290.295781	0.415053	435.651198	3.132328	3.132358	3.133287	0.007616	0.005065	0.001272	-0.822013	-0.548422	-0.153109
0.146200	-145.310417	-144.895364	290.205780	0.415053	435.516197	-3.020569	-3.020540	-3.019615	-0.099244	-0.066229	-0.018632	-0.816033	-0.544431	-0.151995
0.146500	-145.265416	-144.850364	290.115780	0.415053	435.381196	-2.890322	-2.890293	-2.889388	-0.204389	-0.136378	-0.038217	-0.796228	-0.531218	-0.148306
0.146800	-145.220416	-144.805364	290.025780	0.415053	435.246196	-2.760114	-2.760087	-2.759217	-0.306040	-0.204196	-0.057151	-0.762947	-0.509014	-0.142107
0.147100	-145.175416	-144.760364	289.935780	0.415052	435.111195	-2.629946	-2.629921	-2.629100	-0.402480	-0.268538	-0.075115	-0.716766	-0.478203	-0.133505
0.147400	-145.130416	-144.715364	289.845779	0.415052	434.976195	-2.499819	-2.499795	-2.499038	-0.492083	-0.328319	-0.091805	-0.658477	-0.439315	-0.122648
0.147700	-145.085415	-144.670364	289.755779	0.415052	434.841194	-2.369731	-2.369710	-2.369029	-0.573342	-0.382532	-0.106941	-0.589078	-0.393014	-0.109721
